,frame,x [nm],y [nm],Photon #,Sigma [nm]
1,1.0,836.75,52173.73,240,126.08
2,1.0,867.99,51481.13,505,111.73
3,1.0,1439.09,46349.29,2153,115.1
4,1.0,1797.46,37551.9,225,109.14
5,1.0,2241.07,11649.94,467,118.86
6,1.0,2603.15,54149.23,1016,121.48
7,1.0,2806.6,9532.14,753,150.99
8,1.0,2829.58,36740.03,656,116.64
9,1.0,3099.64,33095.1,354,114.25
10,1.0,3335.52,20017.38,196,110.99
11,1.0,3565.98,31474.92,829,128.2
12,1.0,3825.15,32095.55,550,115.8
13,1.0,3825.42,4505.31,432,132.84
14,1.0,4826.56,42523.82,158,96.56
15,1.0,5127.58,3018.18,935,132.48
16,1.0,5981.85,32769.44,190,100.99
17,1.0,6266.58,6940.94,354,152.07
18,1.0,6385.1,30237.11,315,105.08
19,1.0,7190.75,20431.82,256,110.3
20,1.0,7282.89,27456.2,266,114.03
21,1.0,7495.01,50574.97,630,126.02
22,1.0,7735.21,45125.02,295,136.92
23,1.0,8054.26,44658.5,300,102.88
24,1.0,8056.57,16376.85,714,153.87
25,1.0,8089.01,33586.55,615,122.37
26,1.0,8223.12,18325.61,402,111.26
27,1.0,8383.91,49450.27,268,93.63
28,1.0,8634.84,15302.21,547,115.37
29,1.0,8885.09,51848.75,272,86.68
30,1.0,9009.37,30299.31,611,126.13
31,1.0,9582.32,32633.9,426,138.79
32,1.0,10379.23,24179.44,394,120.33
33,1.0,11202.64,36780.32,277,121.87
34,1.0,11725.61,12061.56,190,101.29
35,1.0,12513.62,34031.43,783,144.3
36,1.0,12572.45,15540.39,1084,126.99
37,1.0,12589.36,48740.93,1330,133.37
38,1.0,12635.25,20013.06,887,128.96
39,1.0,13290.73,36524.19,793,120.82
40,1.0,13688.54,48361.16,570,108.51
41,1.0,13840.43,49660.79,876,127.41
42,1.0,14576.92,36431.76,265,111.45
43,1.0,14972.76,50199.09,225,115.35
44,1.0,15543.79,34621.01,496,150.59
45,1.0,15777.97,44154.65,720,117.26
46,1.0,16653.02,31095.31,168,98.94
47,1.0,17772.83,9402.38,342,136.69
48,1.0,17979.95,52507.91,800,124.45
49,1.0,18034.31,45200.8,355,102.23
50,1.0,18445.56,25487.63,1718,139.62
51,1.0,18830.16,4100.26,447,140.33
52,1.0,19073.63,50909.04,994,126.98
53,1.0,19444.63,52205.05,228,95.79
54,1.0,20042.72,16022.75,651,117.15
55,1.0,20294.49,45851.15,367,137.77
56,1.0,20874.18,33501.64,2067,119.04
57,1.0,20990.32,43613.63,172,81.24
58,1.0,21248.56,18791.77,945,129.22
59,1.0,21441.69,39026.52,1377,130.82
60,1.0,21660.44,50461.8,302,127.27
61,1.0,22026.05,3388.59,1946,135.11
62,1.0,22188.0,47219.77,590,125.47
63,1.0,23009.59,45474.34,202,120.89
64,1.0,23110.08,37148.52,194,100.78
65,1.0,23487.5,21226.06,1376,131.03
66,1.0,23689.78,26790.15,437,138.48
67,1.0,23910.02,15048.81,1943,128.04
68,1.0,24088.71,28194.38,627,135.69
69,1.0,24118.92,3828.03,975,141.2
70,1.0,24215.02,7644.56,412,158.93
71,1.0,24556.68,41688.02,148,117.86
72,1.0,24606.22,44018.67,1246,132.03
73,1.0,24754.99,39487.85,121,84.21
74,1.0,25244.51,22021.43,912,145.99
75,1.0,25716.1,6537.89,1460,113.94
76,1.0,25716.77,35300.15,244,130.28
77,1.0,27189.85,22357.42,300,155.19
78,1.0,27327.92,6554.46,1221,124.56
79,1.0,27748.34,39183.9,932,112.69
80,1.0,28446.22,5956.29,243,128.86
81,1.0,28593.96,48022.74,736,142.43
82,1.0,28863.49,48951.27,263,115.55
83,1.0,29531.08,47937.96,437,126.76
84,1.0,29876.86,45515.84,394,137.37
85,1.0,30482.75,19734.77,4079,120.23
86,1.0,30894.03,15300.46,2025,121.49
87,1.0,31332.97,49735.45,1219,119.1
88,1.0,32090.39,20015.73,316,152.83
89,1.0,32493.4,40321.74,1454,124.68
90,1.0,33621.08,42154.79,377,133.06
91,1.0,33682.41,46604.46,998,122.09
92,1.0,34612.21,50019.27,453,127.48
93,1.0,35179.73,31636.59,173,98.92
94,1.0,36072.27,1731.99,366,123.94
95,1.0,37349.0,53430.53,147,80.03
96,1.0,38473.58,53597.15,722,114.01
97,1.0,38578.55,5310.3,308,123.45
98,1.0,38692.64,38626.55,1345,130.54
99,1.0,39009.42,44090.76,181,144.56
100,1.0,39290.2,32587.76,685,117.8
101,1.0,40054.74,39197.92,1158,121.34
102,1.0,40690.19,51479.34,141,70.11
103,1.0,40777.5,37955.21,1290,124.2
104,1.0,40917.93,53357.19,549,111.05
105,1.0,41296.62,28170.09,200,120.08
106,1.0,41324.0,44891.23,215,106.05
107,1.0,41941.91,23849.55,2368,125.03
108,1.0,42301.73,45728.24,344,121.95
109,1.0,43065.63,50187.97,697,142.43
110,1.0,44947.35,40386.32,183,138.71
111,1.0,48216.54,18963.17,157,120.4
112,1.0,49189.91,39881.73,1062,130.92
113,1.0,49508.41,23612.56,1130,121.56
114,1.0,49848.4,30643.73,1252,118.78
115,1.0,50641.02,13680.34,2637,129.91
116,1.0,51158.28,3769.87,217,90.22
117,1.0,51256.8,12425.84,1373,131.16
118,1.0,51567.0,50001.92,901,114.17
119,1.0,51998.32,15073.25,690,126.98
120,1.0,52254.46,50913.06,557,113.55
121,1.0,52268.14,30388.42,208,92.04
122,1.0,52376.39,50533.44,474,130.37
123,1.0,52570.47,15926.03,704,131.29
124,1.0,53243.73,11697.34,291,116.23
125,1.0,53612.46,45254.63,258,99.42
126,1.0,53781.78,37571.49,921,125.39
127,1.0,53988.3,45464.46,356,143.39
128,1.0,54136.62,18605.7,185,114.11
129,1.0,54218.95,20652.22,286,145.66
130,2.0,668.49,43720.98,161,91.81
131,2.0,834.37,52182.15,272,124.11
132,2.0,875.73,51483.26,425,100.44
133,2.0,965.26,10784.68,338,142.58
134,2.0,1419.22,20456.15,809,127.71
135,2.0,1436.71,46344.24,2371,119.94
136,2.0,1734.33,9818.9,684,131.88
137,2.0,1809.69,37543.57,188,103.44
138,2.0,2250.67,11650.43,376,103.61
139,2.0,2606.78,54147.27,1040,114.91
140,2.0,2763.09,32236.84,225,136.27
141,2.0,2826.92,9534.63,617,130.35
142,2.0,3078.9,33088.95,381,117.57
143,2.0,3321.33,20040.07,228,119.61
144,2.0,3829.15,32108.2,446,103.66
145,2.0,4842.99,42537.85,146,92.59
146,2.0,5151.95,3016.57,677,127.72
147,2.0,5741.66,9434.56,598,147.13
148,2.0,5966.28,32771.85,131,79.48
149,2.0,6224.45,27773.15,154,116.13
150,2.0,6273.43,6952.74,255,128.54
151,2.0,6376.98,30240.89,405,123.57
152,2.0,7104.39,40350.36,261,113.49
153,2.0,7177.06,20418.54,236,101.04
154,2.0,7284.61,27440.41,265,109.32
155,2.0,7498.42,50577.17,629,127.16
156,2.0,7740.4,45115.48,260,122.12
157,2.0,8032.97,16396.38,1616,118.01
158,2.0,8060.48,44649.92,393,118.68
159,2.0,8077.7,33583.67,722,136.59
160,2.0,8159.36,15705.58,869,144.72
161,2.0,8230.15,18327.95,408,105.1
162,2.0,8381.19,49452.06,281,96.87
163,2.0,8619.81,15298.19,556,120.52
164,2.0,8883.62,51839.42,248,90.59
165,2.0,9020.94,30402.41,1646,121.19
166,2.0,9581.84,32641.39,409,134.72
167,2.0,11195.24,36780.11,302,141.6
168,2.0,11737.0,12048.14,161,99.24
169,2.0,12528.58,33904.3,379,138.59
170,2.0,12577.16,15532.42,996,121.98
171,2.0,12595.76,48742.71,1070,113.33
172,2.0,12641.65,20010.5,575,123.98
173,2.0,12664.49,33251.72,308,114.66
174,2.0,13316.14,36512.87,737,124.08
175,2.0,13554.34,19845.89,350,143.28
176,2.0,13669.89,15205.78,1759,132.07
177,2.0,13684.63,48358.53,612,107.9
178,2.0,13739.47,36158.32,571,120.51
179,2.0,13852.49,49667.19,790,122.91
180,2.0,14561.43,36450.22,220,105.66
181,2.0,14989.69,50208.03,282,120.6
182,2.0,15778.23,44158.08,717,116.16
183,2.0,16674.96,31097.67,159,100.91
184,2.0,16859.01,22307.26,330,143.27
185,2.0,17982.39,52508.09,791,122.76
186,2.0,18051.47,45199.81,320,102.19
187,2.0,19067.48,51036.64,520,135.57
188,2.0,19441.6,52193.43,221,95.58
189,2.0,19632.99,2112.89,177,126.85
190,2.0,20036.13,16009.3,625,117.31
191,2.0,20877.11,33500.48,2200,122.81
192,2.0,20997.54,43618.96,170,86.14
193,2.0,21044.41,38889.55,2011,139.65
194,2.0,21435.99,39019.03,1370,131.56
195,2.0,21667.36,50448.46,327,120.29
196,2.0,22026.82,3395.01,2077,141.15
197,2.0,22076.4,20340.14,623,129.76
198,2.0,22233.35,47312.46,1453,119.53
199,2.0,23109.55,37145.78,195,97.18
200,2.0,23909.47,15054.84,2669,127.89
201,2.0,24097.12,28198.56,527,127.09
202,2.0,24237.99,7624.99,313,143.76
203,2.0,24325.16,3819.14,1750,141.1
204,2.0,24358.74,31313.19,274,114.45
205,2.0,24533.77,41669.68,186,135.92
206,2.0,24591.47,44016.05,1030,122.19
207,2.0,24766.9,39482.68,122,84.04
208,2.0,24808.41,22623.54,1398,121.79
209,2.0,25229.82,22027.03,1349,126.18
210,2.0,25313.31,35833.89,241,112.8
211,2.0,25714.56,6535.51,1493,117.2
212,2.0,25719.86,35267.59,176,103.25
213,2.0,27329.82,6550.5,2682,130.57
214,2.0,27391.45,51922.54,373,129.47
215,2.0,28028.41,22548.91,341,141.78
216,2.0,28247.28,25400.68,574,147.48
217,2.0,28441.06,5967.06,273,145.58
218,2.0,28587.59,48019.4,560,126.1
219,2.0,28860.32,48973.64,216,99.02
220,2.0,29507.67,47947.17,463,159.59
221,2.0,29886.58,45516.85,446,136.11
222,2.0,30481.1,19738.45,935,122.45
223,2.0,30787.71,30594.38,1326,124.41
224,2.0,30898.41,15296.28,1747,119.19
225,2.0,31328.3,49707.3,1374,127.12
226,2.0,33622.76,42155.49,453,148.61
227,2.0,33681.94,46593.09,489,112.95
228,2.0,34597.91,37927.87,808,119.38
229,2.0,35165.43,31656.94,199,92.26
230,2.0,35803.62,41666.72,205,107.25
231,2.0,37368.33,53421.8,137,88.11
232,2.0,38479.86,53593.14,707,109.99
233,2.0,38694.21,38635.06,1544,129.29
234,2.0,39290.72,32593.02,728,115.42
235,2.0,40686.48,51480.83,141,74.43
236,2.0,40736.89,37727.08,938,130.65
237,2.0,40920.47,53349.9,599,119.17
238,2.0,41328.89,44910.14,158,101.96
239,2.0,41442.44,30846.51,587,123.23
240,2.0,41938.53,23846.39,505,131.6
241,2.0,42296.62,45737.0,425,131.73
242,2.0,43057.47,50182.35,664,136.55
243,2.0,45046.05,7755.27,1789,120.12
244,2.0,46833.18,40449.15,901,124.71
245,2.0,49189.49,39869.32,1244,142.3
246,2.0,49842.5,30646.42,1569,121.99
247,2.0,50642.08,13679.55,2545,129.47
248,2.0,51168.3,3779.24,265,99.46
249,2.0,51258.77,12427.95,1184,128.52
250,2.0,51564.66,50001.17,935,119.63
251,2.0,52258.41,50922.28,610,116.99
252,2.0,52270.1,30397.5,222,92.18
253,2.0,52383.02,50524.46,433,126.17
254,2.0,52577.07,15942.2,472,114.59
255,2.0,52990.83,10578.71,1207,116.98
256,2.0,53617.1,45248.17,145,89.34
257,2.0,53779.92,37563.78,561,109.03
258,2.0,53785.05,13859.58,288,126.28
259,2.0,54028.86,51256.47,114,89.65
260,2.0,54286.18,11715.32,221,121.56
261,3.0,671.22,43731.0,146,84.59
262,3.0,823.62,52188.44,158,97.03
263,3.0,859.6,51490.84,499,110.49
264,3.0,1415.76,20458.0,462,134.7
265,3.0,1435.46,46343.46,2222,116.78
266,3.0,1811.2,37555.96,237,107.25
267,3.0,2237.69,11640.23,463,114.35
268,3.0,2607.62,54157.39,838,108.7
269,3.0,3085.73,33093.42,414,130.32
270,3.0,3339.76,20012.35,192,105.92
271,3.0,3687.18,36907.26,691,121.64
272,3.0,3838.91,32100.97,467,106.66
273,3.0,5126.37,3025.18,744,123.95
274,3.0,5739.8,9457.56,528,131.76
275,3.0,5984.07,32766.57,194,102.52
276,3.0,6223.16,27784.2,1077,125.55
277,3.0,6274.93,6960.8,191,121.54
278,3.0,6389.99,30232.4,316,110.07
279,3.0,6538.05,25231.35,77,73.07
280,3.0,7091.63,40347.23,933,133.8
281,3.0,7179.07,20414.31,259,111.35
282,3.0,7295.06,27450.83,284,119.47
283,3.0,7513.03,50580.75,675,128.89
284,3.0,7734.83,45128.23,237,118.47
285,3.0,8034.17,16403.51,1802,122.05
286,3.0,8068.16,44666.24,327,105.46
287,3.0,8077.69,33587.39,705,133.22
